ModuleLicenseId|ModuleId|LicenseId|IsActive|DateCreated|DateUpdated|UserId|UpdatedUserId|ModuleType
78|49|16|False|2019-04-29 15:20:50.420000000|2019-11-05 11:10:19.763000000|267|338|2
79|49|16|False|2019-04-29 15:27:48.090000000|2019-11-05 11:10:19.763000000|267|338|2
80|8|11|False|2019-04-29 16:12:25.423000000|2020-04-21 14:09:36.777000000|289|296|2
81|113|11|False|2019-04-29 16:12:25.423000000|2020-04-21 14:09:36.777000000|289|296|1
82|115|15|False|2019-04-30 14:37:38.123000000|2020-04-14 18:46:08.083000000|261|539|1
83|4096|15|False|2019-04-30 14:37:38.123000000|2020-04-14 18:46:08.083000000|261|539|2
84|65536|15|False|2019-04-30 14:37:38.123000000|2020-04-14 18:46:08.083000000|261|539|3
85|113|18|False|2019-04-30 15:26:41.957000000|2020-01-30 16:08:01.517000000|0|296|1
86|4|18|False|2019-04-30 15:26:41.960000000|2020-01-30 16:08:01.517000000|0|296|2
87|113|19|True|2019-04-30 15:26:46.057000000||284||1
88|4|19|True|2019-04-30 15:26:46.057000000||284||2
89|113|18|False|2019-04-30 15:53:19.820000000|2020-01-30 16:08:01.517000000|263|296|1
90|4|18|False|2019-04-30 15:53:19.820000000|2020-01-30 16:08:01.517000000|263|296|2
91|115|15|False|2019-04-30 16:31:46.817000000|2020-04-14 18:46:08.083000000|310|539|1
92|4096|15|False|2019-04-30 16:31:46.817000000|2020-04-14 18:46:08.083000000|310|539|2
93|65536|15|False|2019-04-30 16:31:46.817000000|2020-04-14 18:46:08.083000000|310|539|3
94|49|20|False|2019-04-30 16:49:22.500000000|2020-08-26 20:45:49.727000000|0|263|2
95|49|21|True|2019-04-30 16:49:25.037000000||284||2
96|49|20|False|2019-04-30 17:09:16.893000000|2020-08-26 20:45:49.727000000|310|263|2
97|113|18|False|2019-04-30 17:19:19.570000000|2020-01-30 16:08:01.517000000|263|296|1
98|4|18|False|2019-04-30 17:19:19.570000000|2020-01-30 16:08:01.517000000|263|296|2
99|49|20|False|2019-04-30 18:43:12.607000000|2020-08-26 20:45:49.727000000|261|263|2
100|115|15|False|2019-05-02 13:02:20.980000000|2020-04-14 18:46:08.083000000|289|539|1
101|4096|15|False|2019-05-02 13:02:20.980000000|2020-04-14 18:46:08.083000000|289|539|2
102|65536|15|False|2019-05-02 13:02:20.980000000|2020-04-14 18:46:08.083000000|289|539|3
103|113|22|False|2019-05-02 13:26:52.277000000|2020-08-03 21:47:55.420000000|273|263|1
104|113|23|False|2019-05-02 14:35:03.980000000|2020-08-01 12:05:59.313000000|273|310|1
105|113|23|False|2019-05-02 14:37:49.793000000|2020-08-01 12:05:59.313000000|267|310|1
106|115|24|False|2019-05-02 14:38:08.663000000|2020-03-21 11:51:13.927000000|273|273|1
107|115|15|False|2019-05-02 16:05:55.050000000|2020-04-14 18:46:08.083000000|263|539|1
108|4096|15|False|2019-05-02 16:05:55.050000000|2020-04-14 18:46:08.083000000|263|539|2
109|65536|15|False|2019-05-02 16:05:55.050000000|2020-04-14 18:46:08.083000000|263|539|3
110|115|15|False|2019-05-02 16:06:34.307000000|2020-04-14 18:46:08.083000000|261|539|1
111|4096|15|False|2019-05-02 16:06:34.307000000|2020-04-14 18:46:08.083000000|261|539|2
112|65536|15|False|2019-05-02 16:06:34.307000000|2020-04-14 18:46:08.083000000|261|539|3
113|115|15|False|2019-05-02 16:07:37.407000000|2020-04-14 18:46:08.083000000|261|539|1
114|4096|15|False|2019-05-02 16:07:37.407000000|2020-04-14 18:46:08.083000000|261|539|2
115|65536|15|False|2019-05-02 16:07:37.407000000|2020-04-14 18:46:08.083000000|261|539|3
116|114|25|False|2019-05-03 15:29:15.143000000|2020-07-23 15:22:06.333000000|0|296|1
117|114|26|True|2019-05-03 15:29:27.933000000||273||1
118|113|27|False|2019-05-03 16:39:51.067000000|2019-10-21 22:40:35.517000000|266|296|1
119|113|27|False|2019-05-03 16:40:07.860000000|2019-10-21 22:40:35.517000000|266|296|1
120|113|27|False|2019-05-03 16:41:38.970000000|2019-10-21 22:40:35.517000000|266|296|1
121|113|27|False|2019-05-03 16:51:55.250000000|2019-10-21 22:40:35.517000000|266|296|1
122|113|28|False|2019-05-03 17:00:49.950000000|2020-03-26 12:16:10.343000000|267|273|1
123|4096|28|False|2019-05-03 17:00:49.950000000|2020-03-26 12:16:10.343000000|267|273|2
124|113|28|False|2019-05-03 17:25:36.070000000|2020-03-26 12:16:10.343000000|310|273|1
125|4096|28|False|2019-05-03 17:25:36.070000000|2020-03-26 12:16:10.343000000|310|273|2
126|49|20|False|2019-05-03 18:30:26.600000000|2020-08-26 20:45:49.727000000|261|263|2
127|114|29|False|2019-05-03 19:22:22.817000000|2019-11-06 10:48:10.080000000|267|338|1
128|115|15|False|2019-05-03 19:30:46.710000000|2020-04-14 18:46:08.083000000|261|539|1
129|4096|15|False|2019-05-03 19:30:46.710000000|2020-04-14 18:46:08.083000000|261|539|2
130|65536|15|False|2019-05-03 19:30:46.710000000|2020-04-14 18:46:08.083000000|261|539|3
131|113|30|False|2019-05-04 10:06:06.413000000|2020-06-16 22:27:00.283000000|266|539|1
